name,time,last_avgv_a,last_insfre,last_insia,last_insib,last_insic,last_inspf,last_inspf_a,last_inspf_b,last_inspf_c,last_insv_a,last_insvan,last_insvar,last_insvbn,last_insvcn,last_inswat,last_navpf,last_navvar,last_navwat,last_pavpf,last_pavvar,last_pavwat,last_wathtot
eig,2021-03-22T19:00:00Z,22.278,60,28.715,24.204,25.877,0.902,0.923,0.898,0.884,22.102,280.064,3.5,279.923,280.519,19.959,0,0,0,0.904,3.607,20.144,
eig,2021-03-22T19:15:00Z,22.38,60,29.493,25.107,26.389,0.899,0.921,0.893,0.88,22.541,280.158,3.32,280.067,280.824,20.37,0,0,0,0.906,3.822,20.291,
eig,2021-03-22T19:30:00Z,22.154,60.01,28.794,24.271,25.71,0.901,0.921,0.897,0.883,21.944,277.966,3.496,278.067,278.426,19.783,0,0,0,0.901,3.69,19.974,
eig,2021-03-22T19:45:00Z,22.304,59.98,28.93,24.729,25.887,0.902,0.922,0.896,0.887,22.178,279.165,3.41,279.346,279.693,20.025,0,0,0,0.901,3.896,20.105,
eig,2021-03-22T20:00:00Z,22.272,60.01,28.853,24.151,25.902,0.901,0.922,0.897,0.882,22.035,279.519,3.524,279.532,280.083,19.869,0,0,0,0.901,3.568,20.087,
eig,2021-03-22T20:15:00Z,22.535,60.03,28.663,24.345,25.548,0.905,0.922,0.902,0.888,21.978,279.358,3.451,279.411,279.893,19.901,0,0,0,0.903,4.019,20.36,
eig,2021-03-22T20:30:00Z,22.364,59.98,28.438,24.062,25.476,0.902,0.921,0.9,0.883,21.735,278.703,3.495,278.682,279.163,19.613,0,0,0,0.905,3.766,20.239,
eig,2021-03-22T20:45:00Z,22.127,59.98,28.862,25.449,26.552,0.902,0.919,0.901,0.884,22.573,278.586,3.561,278.66,278.982,20.367,0,0,0,0.905,3.464,20.043,
eig,2021-03-22T21:00:00Z,22.204,59.99,28.427,24.701,25.516,0.901,0.918,0.899,0.883,22.018,279.829,3.469,280.245,280.301,19.843,0,0,0,0.903,3.778,20.052,
eig,2021-03-22T21:15:00Z,22.284,59.98,27.782,24.445,25.761,0.898,0.909,0.898,0.888,21.832,279.157,9.523,279.736,279.826,19.638,0,0,0,0.901,3.846,20.098,
eig,2021-03-22T21:30:00Z,22.704,60.03,29.832,26.153,25.734,0.903,0.919,0.901,0.885,22.714,277.764,3.422,278.194,278.199,20.514,0,0,0,0.904,4.295,20.537,
eig,2021-03-22T21:45:00Z,22.343,60.01,22.713,19.084,19.524,0.845,0.876,0.839,0.813,17.063,278.722,3.544,279.054,279.073,13.982,0,0,0,0.902,3.793,20.164,
eig,2021-03-22T22:00:00Z,22.791,59.98,28.911,24.449,25.911,0.904,0.925,0.9,0.886,22.12,279.003,3.457,279.013,279.579,20.013,0,0,0,0.909,3.683,20.724,
eig,2021-03-22T22:15:00Z,22.538,60,28.676,24.364,25.927,0.9,0.92,0.897,0.881,22.07,279.21,3.576,279.361,279.735,19.872,0,0,0,0.906,3.605,20.427,
eig,2021-03-22T22:30:00Z,22.457,60.01,28.834,25.201,26.77,0.901,0.921,0.896,0.885,22.468,277.929,3.482,278.231,278.619,20.258,0,0,0,0.904,3.92,20.301,
eig,2021-03-22T22:45:00Z,22.037,60,28.411,23.758,25.462,0.9,0.921,0.895,0.88,21.686,278.824,3.504,278.905,279.406,19.517,0,0,0,0.9,3.973,19.855,
eig,2021-03-22T23:00:00Z,22.028,59.97,28.213,24.095,25.648,0.898,0.917,0.895,0.88,21.719,278.944,3.533,279.048,279.496,19.515,0,0,0,0.901,3.727,19.848,
eig,2021-03-22T23:15:00Z,22.076,59.98,28.863,24.854,25.557,0.902,0.92,0.898,0.885,22.117,278.406,3.404,278.588,279.028,19.953,0,0,0,0.9,4.104,19.881,
eig,2021-03-22T23:30:00Z,22.145,59.99,27.891,23.614,25.634,0.902,0.921,0.896,0.886,21.449,277.274,3.393,277.423,278.17,19.355,0,0,0,0.902,3.693,19.988,
eig,2021-03-22T23:45:00Z,21.818,59.97,28.346,24.929,26.882,0.899,0.916,0.893,0.887,22.311,278.181,9.744,278.445,279.081,20.058,0,0,0,0.903,3.814,19.72,
eig,2021-03-23T00:00:00Z,21.904,59.99,28.463,24.873,26.419,0.901,0.918,0.896,0.889,22.201,278.497,3.435,278.928,279.408,20.019,0,0,0,0.901,4.471,19.749,
eig,2021-03-23T00:15:00Z,21.968,59.99,29.419,25.022,26.67,0.901,0.921,0.898,0.882,22.653,279.06,3.632,279.164,279.578,20.418,0,0,0,0.9,4.575,19.784,
eig,2021-03-23T00:30:00Z,22.482,60,29.599,25.526,26.752,0.902,0.919,0.901,0.886,23.006,279.068,3.65,279.144,279.45,20.509,0,0,0,0.901,3.999,20.262,
eig,2021-03-23T00:45:00Z,22.619,60.01,29.352,24.829,26.009,0.901,0.92,0.902,0.88,22.35,278.251,3.661,278.352,278.643,20.146,0,0,0,0.901,3.858,20.397,
eig,2021-03-23T01:00:00Z,22.243,59.98,28.296,23.436,25.563,0.899,0.922,0.895,0.879,21.543,279.035,3.538,279.009,279.541,19.388,0,0,0,0.9,3.591,20.029,
eig,2021-03-23T01:15:00Z,22.322,60,28.512,24.41,25.893,0.899,0.92,0.892,0.882,22.019,279.384,3.435,279.334,280.038,19.806,0,-0.872,0,0.902,4.09,20.149,
eig,2021-03-23T01:30:00Z,21.845,60.02,29.178,24.874,25.515,0.902,0.923,0.898,0.882,22.29,279.503,3.454,279.509,280.007,20.124,0,0,0,0.899,3.71,19.657,
eig,2021-03-23T01:45:00Z,21.93,60,28.506,23.226,25.551,0.899,0.922,0.896,0.878,21.519,279.903,3.466,279.79,280.413,19.44,0,0,0,0.9,3.773,19.749,
eig,2021-03-23T02:00:00Z,22.024,59.98,28.381,23.781,25.982,0.896,0.916,0.891,0.879,21.427,279.634,3.529,279.833,280.389,19.326,0,0,0,0.903,4.295,19.888,
eig,2021-03-23T02:15:00Z,21.996,60.02,28.804,24.531,26.342,0.897,0.916,0.892,0.88,22.313,279.902,3.608,280.096,280.693,20.02,0,0,0,0.897,5.384,19.746,
eig,2021-03-23T02:30:00Z,21.992,60.02,22.654,18.6,20.074,0.857,0.894,0.842,0.83,18.388,280.301,3.054,280.424,281.131,16.331,0,0,0,0.898,5.995,19.752,
eig,2021-03-23T02:45:00Z,21.939,60.01,27.903,23.748,25.327,0.899,0.92,0.895,0.88,21.857,280.494,3.66,280.523,281.094,19.572,0,0,0,0.899,5.303,19.726,
eig,2021-03-23T03:00:00Z,21.851,60.03,28.493,23.842,26.131,0.895,0.916,0.891,0.877,22.055,280.79,3.716,280.788,281.396,19.752,0,0,0,0.898,4.804,19.639,
eig,2021-03-23T03:15:00Z,22.198,59.99,28.414,23.876,25.575,0.895,0.915,0.893,0.876,21.885,280.727,3.658,280.679,281.3,19.603,0,0,0,0.899,6.561,19.963,
eig,2021-03-23T03:30:00Z,21.954,59.98,27.912,23.239,25.188,0.894,0.914,0.892,0.875,21.458,280.651,3.614,280.52,281.262,19.207,0,0,0,0.895,4.857,19.666,
eig,2021-03-23T03:45:00Z,21.71,60.02,27.833,23.797,25.305,0.896,0.915,0.893,0.877,21.609,280.888,3.548,280.838,281.318,19.364,0,0,0,0.895,4.199,19.445,
eig,2021-03-23T04:00:00Z,21.871,59.99,28.539,23.782,25.684,0.899,0.917,0.896,0.881,21.79,279.561,3.614,279.596,280.045,19.59,0,0,0,0.895,4.682,19.577,
eig,2021-03-23T04:15:00Z,21.832,60,28.321,23.854,25.519,0.898,0.916,0.898,0.879,21.628,278.313,3.615,278.337,278.797,19.445,0,0,0,0.897,5.012,19.591,
eig,2021-03-23T04:30:00Z,21.803,60,28.433,23.809,25.324,0.899,0.918,0.896,0.879,21.71,279.587,3.588,279.538,280.09,19.519,0,0,0,0.899,5.369,19.618,
eig,2021-03-23T04:45:00Z,21.747,60,28.263,24.05,25.773,0.901,0.919,0.899,0.884,21.869,280.665,3.523,280.694,281.234,19.716,0,0,0,0.9,4.531,19.576,
eig,2021-03-23T05:00:00Z,21.732,60,27.87,23.043,24.849,0.902,0.922,0.9,0.882,21.286,280.546,3.479,280.461,281.011,19.214,0,0,0,0.9,4.283,19.571,
eig,2021-03-23T05:15:00Z,21.366,60,26.725,22.409,24.025,0.903,0.922,0.9,0.885,20.529,280.308,3.285,280.276,280.863,18.554,0,0,0,0.902,3.78,19.275,
eig,2021-03-23T05:30:00Z,20.997,60.01,27.166,22.596,24.205,0.904,0.923,0.901,0.885,20.633,279.261,3.329,279.283,279.826,18.657,0,0,0,0.905,3.825,19.006,
eig,2021-03-23T05:45:00Z,20.899,60.01,26.743,22.145,24.023,0.904,0.924,0.903,0.884,20.413,280.438,3.317,280.457,280.977,18.476,0,0,0,0.904,3.957,18.909,
eig,2021-03-23T06:00:00Z,20.807,60.01,27.067,22.923,24.956,0.904,0.924,0.9,0.887,20.979,280.087,8.9,280.058,280.51,18.981,0,0,0,0.904,3.715,18.827,
eig,2021-03-23T06:15:00Z,20.932,59.98,27.038,22.365,24.183,0.903,0.923,0.901,0.883,20.63,280.371,3.367,280.346,280.897,18.645,0,0,0,0.904,4.078,18.939,
eig,2021-03-23T06:30:00Z,20.847,60.01,26.929,22.501,24.132,0.904,0.923,0.902,0.884,20.549,279.93,3.327,279.937,280.459,18.587,0,0,0,0.904,3.862,18.848,
eig,2021-03-23T06:45:00Z,20.854,60.01,28.21,23.775,24.517,0.905,0.926,0.901,0.884,21.474,280.582,3.325,280.485,281.086,19.439,0,0,0,0.904,3.783,18.868,
eig,2021-03-23T07:00:00Z,20.811,60.01,27.126,22.599,24.726,0.903,0.923,0.9,0.885,20.852,280.24,8.898,280.232,280.699,18.841,0,0,0,0.904,3.447,18.814,
eig,2021-03-23T07:15:00Z,20.824,60.02,27.498,22.614,24.573,0.903,0.924,0.899,0.884,20.947,280.206,3.393,280.403,280.914,18.933,0,0,0,0.904,3.908,18.834,
eig,2021-03-23T07:30:00Z,20.923,60.01,27.112,22.824,24.81,0.904,0.923,0.901,0.886,20.935,280.252,3.489,280.283,280.939,18.865,0,0,0,0.903,3.913,18.909,
eig,2021-03-23T07:45:00Z,20.881,60.01,27.243,22.701,24.275,0.906,0.925,0.902,0.887,20.766,280.059,3.31,280.114,280.714,18.797,0,0,0,0.904,4.052,18.877,
eig,2021-03-23T08:00:00Z,20.849,59.99,26.774,22.151,24.38,0.902,0.922,0.899,0.882,20.542,280.18,3.419,279.925,280.635,18.533,0,0,0,0.903,3.472,18.845,
eig,2021-03-23T08:15:00Z,20.888,59.98,27.494,23.665,25.603,0.907,0.924,0.905,0.891,21.502,279.66,8.997,279.652,280.382,19.517,0,0,0,0.903,4.161,18.878,
eig,2021-03-23T08:30:00Z,20.907,60.01,26.993,23.423,25.319,0.91,0.935,0.904,0.89,21.204,279.427,8.778,279.417,280.138,19.281,0,0,0,0.904,4.063,18.914,
eig,2021-03-23T08:45:00Z,20.858,60.03,27.473,22.733,24.525,0.903,0.923,0.898,0.885,20.875,279.179,3.372,279.187,279.787,18.844,0,0,0,0.904,3.933,18.871,
eig,2021-03-23T09:00:00Z,20.915,60.01,27.112,22.727,24.663,0.904,0.923,0.9,0.886,20.791,278.99,3.328,278.96,279.634,18.797,0,0,0,0.904,4.066,18.907,
eig,2021-03-23T09:15:00Z,20.816,60.03,26.711,22.685,24.231,0.905,0.924,0.9,0.889,20.586,278.84,3.189,279.006,279.624,18.646,0,0,0,0.904,4.173,18.825,
eig,2021-03-23T09:30:00Z,21.042,60.01,27.104,22.61,24.923,0.906,0.927,0.899,0.891,20.908,279.978,3.24,280.159,280.788,18.959,0,0,0,0.905,5.453,19.061,
eig,2021-03-23T09:45:00Z,20.987,60.04,26.709,22.78,25.05,0.919,0.934,0.91,0.912,21.175,280.208,8.958,280.447,281.113,19.176,0,0,0,0.907,4.677,19.041,
eig,2021-03-23T10:00:00Z,20.943,59.98,27.348,23.658,25.39,0.909,0.928,0.905,0.894,21.371,279.66,8.83,279.662,280.476,19.446,0,0,0,0.908,5.653,19.025,
eig,2021-03-23T10:15:00Z,20.993,60.01,27.101,23.44,25.293,0.914,0.943,0.904,0.893,21.241,279.483,8.684,279.629,280.361,19.363,0,0,0,0.907,3.909,19.055,
eig,2021-03-23T10:30:00Z,20.939,60,27.099,23.272,24.941,0.907,0.926,0.902,0.892,21.043,278.87,3.214,279.248,279.759,19.099,0,0,0,0.908,3.743,19.017,
eig,2021-03-23T10:45:00Z,20.988,60.02,27.113,23.327,24.715,0.906,0.922,0.901,0.891,21.003,279.215,3.23,279.605,280.15,19.032,0,0,0,0.908,5.248,19.07,
eig,2021-03-23T11:00:00Z,20.911,59.99,26.86,23.596,25.073,0.908,0.924,0.902,0.895,21.09,278.848,8.818,279.432,279.745,19.147,0,0,0,0.907,3.998,18.971,
eig,2021-03-23T11:15:00Z,20.942,60.01,26.637,23.531,24.851,0.907,0.925,0.903,0.892,20.965,278.919,8.767,279.31,279.752,19.031,0,0,0,0.907,5.926,19.013,
eig,2021-03-23T11:30:00Z,20.821,60,27.217,22.944,24.255,0.906,0.925,0.902,0.889,20.764,279.032,3.214,279.482,279.949,18.827,0,0,0,0.907,4.507,18.889,
eig,2021-03-23T11:45:00Z,21.003,60.03,27.633,24.726,25.767,0.919,0.938,0.917,0.902,27.204,279.087,5.078,279.738,280.072,26.712,0,0,0,0.908,4.039,19.077,
eig,2021-03-23T12:00:00Z,21.04,59.99,26.79,22.974,24.638,0.907,0.925,0.902,0.894,20.815,279.501,8.734,279.965,280.435,18.882,0,0,0,0.908,5.565,19.107,
eig,2021-03-23T12:15:00Z,21.119,60.02,27.435,22.973,24.53,0.913,0.942,0.901,0.891,21.187,279.362,3.252,279.864,280.342,19.243,0,0,0,0.908,5.002,19.187,
eig,2021-03-23T12:30:00Z,21.014,60,27.046,23.455,24.303,0.906,0.922,0.903,0.89,20.85,279.277,3.323,279.745,280.111,18.846,0,-0.941,0,0.907,5.739,19.068,
eig,2021-03-23T12:45:00Z,21.057,60.01,26.868,23.142,24.697,0.908,0.925,0.906,0.891,20.965,279.98,3.228,280.361,280.839,19.045,0,0,0,0.907,5.7,19.104,
eig,2021-03-23T13:00:00Z,20.985,60.02,26.814,22.73,24.164,0.911,0.926,0.908,0.897,20.698,279.196,2.904,279.48,280.072,18.745,0,0,0,0.907,3.786,19.043,
eig,2021-03-23T13:15:00Z,21.209,60,26.896,23.574,24.98,0.91,0.924,0.91,0.895,21.155,280.177,8.927,280.381,280.95,19.165,0,0,0,0.909,4.144,19.281,
